,Meltpond_index,Latitude,Longtitude,b08_NIR,b04_red,b03_green,b02_blue,Depth[m],Time_sentinel,Time_ICESat,b08_NIR_left_neighbor,b04_red_left_neighbor,b03_green_left_neighbor,b02_blue_left_neighbor,b08_NIR_right_neighbor,b04_red_right_neighbor,b03_green_right_neighbor,b02_blue_right_neighbor
68,3.0,81.90699076584586,-16.51535608730256,1168.0,3154.0,5540.0,6172.0,-0.7663272151595131,2021-07-06 16:29:01,2021-07-06 16:08:15,1162.0,3138.0,5604.0,6400.0,1197.0,3212.0,5456.0,5964.0
69,3.0,81.9070800756842,-16.515306832285084,1197.0,3212.0,5456.0,5964.0,-0.7558723928091124,2021-07-06 16:29:01,2021-07-06 16:08:15,1168.0,3154.0,5540.0,6172.0,1124.0,3144.0,5516.0,5964.0
70,3.0,81.90708701015097,-16.515941146097607,1124.0,3144.0,5516.0,5964.0,-0.7540021587573651,2021-07-06 16:29:01,2021-07-06 16:08:15,1197.0,3212.0,5456.0,5964.0,1117.0,3094.0,5484.0,6148.0
71,3.0,81.90717632006046,-16.515891896899223,1117.0,3094.0,5484.0,6148.0,-0.8741800110204339,2021-07-06 16:29:01,2021-07-06 16:08:15,1124.0,3144.0,5516.0,5964.0,1151.0,3116.0,5620.0,6380.0
72,3.0,81.90726562996355,-16.515842646610317,1151.0,3116.0,5620.0,6380.0,-0.8434339086510636,2021-07-06 16:29:01,2021-07-06 16:08:15,1117.0,3094.0,5484.0,6148.0,1128.0,3070.0,5460.0,6044.0
73,3.0,81.90736187358073,-16.516427730863665,1128.0,3070.0,5460.0,6044.0,-0.6869103440990196,2021-07-06 16:29:01,2021-07-06 16:08:15,1151.0,3116.0,5620.0,6380.0,1064.0,3056.0,5448.0,6028.0
74,3.0,81.90745118354849,-16.51637848530381,1064.0,3056.0,5448.0,6028.0,-0.6409032013747012,2021-07-06 16:29:01,2021-07-06 16:08:15,1128.0,3070.0,5460.0,6044.0,1080.0,3034.0,5352.0,6104.0
75,3.0,81.9075404935098,-16.516329238653483,1080.0,3034.0,5352.0,6104.0,-0.7574645251769115,2021-07-06 16:29:01,2021-07-06 16:08:15,1064.0,3056.0,5448.0,6028.0,1092.0,3014.0,5404.0,6052.0
76,3.0,81.90763673643906,-16.516914348367173,1092.0,3014.0,5404.0,6052.0,-0.7110978532918617,2021-07-06 16:29:01,2021-07-06 16:08:15,1080.0,3034.0,5352.0,6104.0,1110.0,3060.0,5488.0,6088.0
77,3.0,81.90772604646507,-16.516865106446485,1110.0,3060.0,5488.0,6088.0,-0.544557778056471,2021-07-06 16:29:01,2021-07-06 16:08:15,1092.0,3014.0,5404.0,6052.0,1124.0,3134.0,5596.0,6312.0
78,3.0,81.90781535648466,-16.516815863435347,1124.0,3134.0,5596.0,6312.0,-0.5348257096908409,2021-07-06 16:29:01,2021-07-06 16:08:15,1110.0,3060.0,5488.0,6088.0,1142.0,3236.0,5844.0,6508.0
79,3.0,81.90791159872586,-16.51740099861144,1142.0,3236.0,5844.0,6508.0,-0.4834800897279375,2021-07-06 16:29:01,2021-07-06 16:08:15,1124.0,3134.0,5596.0,6312.0,1186.0,3306.0,5780.0,6488.0
80,3.0,81.90800090881012,-16.517351760330552,1186.0,3306.0,5780.0,6488.0,-0.5422760789826987,2021-07-06 16:29:01,2021-07-06 16:08:15,1142.0,3236.0,5844.0,6508.0,1248.0,3480.0,5772.0,6444.0
81,3.0,81.90809021888798,-16.517302520959216,1248.0,3480.0,5772.0,6444.0,-0.4967524220131343,2021-07-06 16:29:01,2021-07-06 16:08:15,1186.0,3306.0,5780.0,6488.0,1230.0,3526.0,5864.0,6400.0
82,3.0,81.90809715029216,-16.517936915149928,1230.0,3526.0,5864.0,6400.0,-0.5884185277634081,2021-07-06 16:29:01,2021-07-06 16:08:15,1248.0,3480.0,5772.0,6444.0,1260.0,3566.0,5748.0,6260.0
83,3.0,81.9081864604411,-16.517887681599746,1260.0,3566.0,5748.0,6260.0,-0.4053053549138743,2021-07-06 16:29:01,2021-07-06 16:08:15,1230.0,3526.0,5864.0,6400.0,1253.0,3446.0,5616.0,6172.0
84,3.0,81.90827577058363,-16.517838446959242,1253.0,3446.0,5616.0,6172.0,-0.4644194285175673,2021-07-06 16:29:01,2021-07-06 16:08:15,1260.0,3566.0,5748.0,6260.0,1273.0,3446.0,5676.0,6280.0
85,3.0,81.90836508071973,-16.517789211228372,1273.0,3446.0,5676.0,6280.0,-0.5078044407753736,2021-07-06 16:29:01,2021-07-06 16:08:15,1253.0,3446.0,5616.0,6172.0,1256.0,3494.0,5704.0,6336.0
86,3.0,81.90837201137751,-16.51842362724458,1256.0,3494.0,5704.0,6336.0,-0.6548508553333253,2021-07-06 16:29:01,2021-07-06 16:08:15,1273.0,3446.0,5676.0,6280.0,1261.0,3480.0,5732.0,6268.0
87,4.0,81.92652938332314,-16.55262537938642,3404.0,5524.0,7144.0,7400.0,-0.4887453805485834,2021-07-06 16:29:01,2021-07-06 16:08:15,1562.0,3692.0,5844.0,6332.0,2046.0,4512.0,6540.0,7132.0
88,4.0,81.92653626052584,-16.55326124325728,2046.0,4512.0,6540.0,7132.0,-0.5086565936055826,2021-07-06 16:29:01,2021-07-06 16:08:15,3404.0,5524.0,7144.0,7400.0,2058.0,4408.0,6380.0,6900.0
89,4.0,81.9266255748928,-16.5532122839047,2058.0,4408.0,6380.0,6900.0,-0.5168310513322331,2021-07-06 16:29:01,2021-07-06 16:08:15,2046.0,4512.0,6540.0,7132.0,1752.0,4120.0,6152.0,6516.0
90,4.0,81.92671488925339,-16.553163323465363,1752.0,4120.0,6152.0,6516.0,-0.4759892605329646,2021-07-06 16:29:01,2021-07-06 16:08:15,2058.0,4408.0,6380.0,6900.0,1487.0,3886.0,6096.0,6680.0
91,4.0,81.92681108006032,-16.553750247731173,1487.0,3886.0,6096.0,6680.0,-0.4535967545366014,2021-07-06 16:29:01,2021-07-06 16:08:15,1752.0,4120.0,6152.0,6516.0,1444.0,3902.0,5992.0,6688.0
92,4.0,81.92690039448532,-16.553701292063305,1444.0,3902.0,5992.0,6688.0,-0.4246625261816386,2021-07-06 16:29:01,2021-07-06 16:08:15,1487.0,3886.0,6096.0,6680.0,1507.0,3990.0,6048.0,6576.0
93,4.0,81.92698970890397,-16.553652335308733,1507.0,3990.0,6048.0,6576.0,-0.4690882254973478,2021-07-06 16:29:01,2021-07-06 16:08:15,1444.0,3902.0,5992.0,6688.0,1684.0,4220.0,6272.0,6756.0
94,4.0,81.92708589901886,-16.554239285181925,1684.0,4220.0,6272.0,6756.0,-0.4452387834023311,2021-07-06 16:29:01,2021-07-06 16:08:15,1507.0,3990.0,6048.0,6576.0,1676.0,4172.0,6264.0,6680.0
95,4.0,81.92717521350193,-16.554190333199404,1676.0,4172.0,6264.0,6680.0,-0.4255776601493684,2021-07-06 16:29:01,2021-07-06 16:08:15,1684.0,4220.0,6272.0,6756.0,1676.0,4144.0,6088.0,6644.0
96,4.0,81.92726452797865,-16.554141380130176,1676.0,4144.0,6088.0,6644.0,-0.4968866393379754,2021-07-06 16:29:01,2021-07-06 16:08:15,1676.0,4172.0,6264.0,6680.0,1879.0,4576.0,6504.0,6892.0
97,4.0,81.92736071740144,-16.554728355612788,1879.0,4576.0,6504.0,6892.0,-0.5511379778870363,2021-07-06 16:29:01,2021-07-06 16:08:15,1676.0,4144.0,6088.0,6644.0,1796.0,4476.0,6372.0,6932.0
98,4.0,81.92745003194257,-16.55467940731625,1796.0,4476.0,6372.0,6932.0,-0.4870727541646472,2021-07-06 16:29:01,2021-07-06 16:08:15,1879.0,4576.0,6504.0,6892.0,1780.0,4240.0,6148.0,6672.0
99,4.0,81.92753934647736,-16.554630457933033,1780.0,4240.0,6148.0,6672.0,-0.4737569051715944,2021-07-06 16:29:01,2021-07-06 16:08:15,1796.0,4476.0,6372.0,6932.0,1896.0,4440.0,6368.0,6844.0
100,4.0,81.927635535208,-16.555217459027123,1896.0,4440.0,6368.0,6844.0,-0.5368466102280848,2021-07-06 16:29:01,2021-07-06 16:08:15,1780.0,4240.0,6148.0,6672.0,1643.0,4100.0,6044.0,6576.0
101,4.0,81.92772484980719,-16.555168514417154,1643.0,4100.0,6044.0,6576.0,-0.574009633963241,2021-07-06 16:29:01,2021-07-06 16:08:15,1896.0,4440.0,6368.0,6844.0,1474.0,3884.0,6080.0,6528.0
102,4.0,81.92781416440005,-16.55511956872058,1474.0,3884.0,6080.0,6528.0,-0.6461134851652252,2021-07-06 16:29:01,2021-07-06 16:08:15,1643.0,4100.0,6044.0,6576.0,1306.0,3580.0,5804.0,6404.0
